Gene Accession Number,1,2,3,4,5,6,7,8,9,10,11,12,13,…
AFFX-HUMISGF3A/M97935_MB_at,215,116,476,155,122,176,58,257,166,155,46,-17,202,…
AFFX-HUMISGF3A/M97935_3_at,797,433,1474,415,483,412,383,580,752,606,266,152,778,…
AFFX-HUMRGE/M10098_5_at,14538,615,5669,4850,1284,4148,21573,3934,13005,-163,791,8299,-71,…
AFFX-HUMRGE/M10098_M_at,9738,115,3272,2293,2731,2743,11031,1548,7272,-213,122,4204,-209,…
AFFX-HUMRGE/M10098_3_at,8529,1518,3668,2569,316,2404,26002,1299,13939,-241,1553,5351,-316,…
AFFX-HUMGAPDH/M33197_5_at,15076,19448,27410,14920,14653,25771,11605,8184,19932,27919,25452,19281,11065,…
AFFX-HUMGAPDH/M33197_M_at,11126,13568,16756,11439,15030,24420,12125,4175,15546,18782,17041,20863,10630,…
AFFX-HUMGAPDH/M33197_3_at,17782,18112,23006,17633,17384,30481,20356,10642,18316,23485,21746,25785,11898,…
AFFX-HSAC07/X00351_5_at,16287,17926,22626,15770,16386,32046,13576,16303,18288,20332,16870,11664,14587,…
AFFX-HSAC07/X00351_M_at,18727,20668,24672,18773,19091,38467,14956,18006,18507,25078,20196,17705,18957,…
AFFX-HSAC07/X00351_3_at,15774,16959,18285,14245,18323,25364,18106,16885,15693,19625,16241,17558,17520,…
AFFX-HUMTFRR/M11507_5_at,264,513,609,183,291,245,171,487,371,43,264,237,184,…
AFFX-HUMTFRR/M11507_M_at,70,153,66,-54,78,-40,-25,-19,-41,-14,-4,14,-52,…
AFFX-HUMTFRR/M11507_3_at,298,285,187,260,287,222,141,115,323,320,209,195,165,…
AFFX-M27830_5_at,6750,2215,3325,3058,1130,3906,7761,4277,6114,-9,1531,4239,55,…
AFFX-M27830_M_at,6559,3824,3349,2442,1056,4530,2532,4542,3916,532,3538,6599,892,…
AFFX-M27830_3_at,1164,655,927,527,448,277,735,1067,738,774,773,360,358,…
AFFX-HSAC07/X00351_3_st,2982,3187,3097,1731,728,1644,4024,1077,7941,686,1651,1543,910,…
AFFX-HUMGAPDH/M33197_5_st,240,86,252,-171,28,71,-132,-134,235,-41,204,149,-184,…
AFFX-HUMGAPDH/M33197_M_st,132,301,524,-76,89,302,171,92,655,96,426,179,57,…
AFFX-HUMGAPDH/M33197_3_st,546,530,911,327,120,572,465,310,741,200,446,671,136,…
AFFX-HSAC07/X00351_5_st,-1,185,140,-91,-220,382,-196,-106,131,-173,-115,117,-179,…
AFFX-HSAC07/X00351_M_st,336,418,761,511,65,705,448,1073,584,184,249,291,162,…
A28102_at,151,263,88,484,118,270,458,872,62,194,143,359,66,…
AB000114_at,72,21,-27,61,16,85,-10,25,-38,65,-111,12,39,…
AB000115_at,281,250,358,118,197,71,168,296,198,113,164,185,111,…
AB000220_at,36,43,42,39,39,32,10,59,27,39,19,35,41,…
AB000409_at,-299,-103,142,-11,237,-112,87,-520,148,-25,-125,130,-16,…
AB000449_at,57,169,359,274,311,232,131,70,313,204,307,158,971,…
AB000450_at,186,219,237,245,186,30,199,556,259,54,87,54,220,…
AB000460_at,1647,2043,1997,2128,1608,1354,1784,2911,2117,1408,2117,1438,2256,…
AB000462_at,137,188,91,-82,204,-112,52,-44,-2,49,29,306,377,…
AB000464_at,803,756,2514,1489,322,750,409,1074,1495,246,706,629,964,…
AB000466_at,-894,-812,-1715,-969,-444,-1338,-1512,-1799,-823,-503,-570,-635,-528,…
AB000467_at,-632,-700,-603,-909,-254,-640,-823,-913,-686,-618,-478,-423,-645,…
AB000468_at,378,249,362,266,554,110,312,238,896,229,2433,38,937,…
AB000584_at,-26,-242,-31,-181,16,-208,134,13,-11,-422,-98,-58,-863,…
AB000895_at,-691,-369,-1385,-900,-58,-1077,-831,-554,-297,-359,-148,-737,-582,…
AB000896_at,2,-14,-374,-237,-78,-190,-228,-331,-57,-99,-106,-99,35,…
AB000897_at,-156,-98,-213,-156,-95,-81,-55,-85,-41,-68,-62,-28,-50,…
AB000905_at,155,131,270,115,45,78,173,121,90,95,128,50,113,…
AB001106_at,355,431,603,255,569,136,282,295,450,400,487,227,765,…
AB001325_at,1149,941,1924,1078,501,1374,1357,1760,1897,792,1009,651,934,…
AB002314_at,-131,-95,94,-24,-15,-88,33,-152,34,0,-42,-41,55,…
AB002315_at,158,328,301,238,181,26,57,143,389,22,356,100,229,…
AB002318_at,1084,1215,1281,1316,296,841,1041,1253,1375,968,1567,494,757,…
AB002365_at,87,53,128,112,-39,144,65,203,93,24,54,-1,-49,…
AB002366_at,125,-81,70,41,-1,64,-87,50,41,6,2,66,29,…
AB002380_at,11,20,12,34,-2,-32,-95,11,-79,19,-89,-18,29,…
AB002382_at,553,215,460,512,514,515,347,1031,392,300,550,337,560,…
AB002409_at,152,104,-3,-147,-29,88,-13,-109,35,-30,-22,27,-43,…
AB002559_at,759,1656,1130,1062,822,1020,1068,1455,1099,1164,662,753,728,…
AB003102_at,551,739,885,654,756,769,467,1015,842,439,1368,304,881,…
AB003103_at,34,37,141,90,159,12,139,130,69,78,189,11,233,…
AB003177_at,588,781,1044,652,999,576,764,614,1321,493,1168,196,637,…
AB003698_at,129,182,423,147,243,136,110,79,376,206,326,96,469,…
AB004884_at,1128,944,1019,904,1037,528,956,766,1058,905,1104,419,1364,…
AB006190_at,919,759,1019,614,691,410,658,1088,707,427,605,505,701,…
AC000061_cds2_at,399,219,650,761,263,261,982,244,244,263,238,347,92,…
AC000061_cds3_at,-206,-87,-183,-254,-122,-174,-282,-116,-42,10,-88,-70,-68,…
AC000062_at,20,13,-33,-9,-17,-42,6,34,-11,-2,-61,-31,-23,…
AC000064_cds1_at,271,595,457,414,397,145,499,530,307,305,199,353,296,…
AC000064_cds2_at,78,142,205,142,85,135,176,283,187,60,149,54,166,…
AC000066_at,32,42,2,-26,-23,-69,-10,14,-10,-7,24,15,3,…
AC000099_at,245,125,124,99,89,92,238,46,17,154,169,64,107,…
AC000115_cds1_at,-98,-19,86,-57,-199,26,110,59,45,-80,32,-28,-128,…
AC002045_xpt1_at,70,180,92,150,149,136,52,172,137,73,272,90,115,…
AC002073_cds1_at,146,224,15,-87,169,85,-3,101,75,-62,233,41,121,…
AC002077_at,-260,-638,-402,-862,-254,-88,-635,-1365,-452,-247,-239,-321,-488,…
AC002086_at,117,0,-12,-34,65,40,-90,-86,-11,30,122,8,65,…
AC002115_cds1_at,2236,5198,4263,3083,3569,2832,2478,2905,4693,3191,3621,3397,2711,…
AC002115_cds3_at,729,533,960,675,425,686,910,779,850,777,727,586,555,…
AC002115_cds4_at,-1031,-1029,-1667,-942,-964,-647,-767,-1980,-1202,-1007,-1029,-199,-936,…
AC002115_rna2_at,362,387,646,294,580,430,307,281,662,326,417,353,653,…
AC002450_at,-28,36,2,-112,56,-115,-68,-11,-20,-60,-5,20,-51,…
AC002464_at,-294,33,110,12,15,-67,-38,-221,-158,-99,-140,-80,115,…
AC002486_at,333,128,352,109,151,208,162,149,309,97,176,189,102,…
AD000092_cds1_at,207,-10,109,520,-126,401,-220,188,180,136,203,505,110,…
AD000092_cds2_at,-1305,-887,-1792,-2151,-152,-705,-1601,-1742,-667,-79,-579,-665,-884,…
AD000684_cds1_at,-214,88,-270,-203,40,21,-181,-32,-158,-59,-115,-165,-118,…
AD001527_cds1_at,141,199,226,108,224,144,220,31,177,172,109,150,57,…
AF000177_at,-97,348,150,135,280,-176,176,-263,327,89,485,-57,349,…
AF000231_at,169,71,92,88,196,-24,146,53,132,39,102,18,293,…
AF000234_at,-135,-27,-320,-240,-183,-142,-455,-683,-86,-22,-158,-136,-46,…
AF000430_at,7,-5,5,3,112,-51,-1,92,-52,-71,-13,41,38,…
AF000545_at,-273,-71,-191,-269,-48,-243,-272,-337,-129,-152,-29,-17,-53,…
AF000560_at,457,-45,376,325,221,280,361,740,296,-150,127,-149,458,…
AF000562_at,1002,1152,953,1012,885,901,920,1706,976,967,1008,807,603,…
AF000573_rna1_at,-62,-83,-91,-172,-40,-49,-36,-97,-45,8,-69,-122,-26,…
AF000959_at,-468,-829,-496,-739,-55,-542,-566,-512,-451,-425,-235,-518,-254,…
AF001294_at,-154,-50,-177,193,-71,104,248,415,-217,62,31,79,-61,…
AF001620_at,-119,-12,-29,-29,-36,-42,10,43,-75,36,21,5,-97,…
AF002020_at,54,117,175,235,150,142,221,217,141,171,88,132,206,…
AF002224_at,180,372,491,528,162,446,527,893,480,421,259,334,111,…
AF002700_at,373,480,856,506,213,414,772,836,449,128,152,363,201,…
AF003743_at,484,485,-159,597,155,501,774,982,-341,59,72,505,102,…
AF005037_at,99,21,-6,33,110,76,70,76,98,9,-23,-73,116,…
AF005043_at,65,92,163,139,107,76,68,-40,98,62,25,21,151,…
AF005361_at,-60,62,30,6,-16,-35,-13,56,-62,49,4,-48,28,…
AF005775_at,451,647,842,531,514,487,403,671,492,422,351,352,458,…
AF005887_at,197,119,293,118,200,44,181,206,93,55,152,8,137,…
AF006041_at,946,178,2011,515,478,553,1073,2126,743,629,686,181,1420,…
AF006084_at,1190,866,1408,948,1129,983,1287,566,813,765,460,1096,1029,…
AF006087_at,370,1466,1334,552,711,227,530,527,1693,642,397,319,560,…
AF006609_at,-300,17,-330,-141,173,-156,-628,-410,-451,-398,-132,-232,3,…
AF007111_at,330,43,428,449,122,245,144,178,169,61,182,7,273,…
AF007551_at,141,21,-57,87,244,64,465,374,75,14,48,146,112,…
AF007875_at,260,362,400,361,389,156,283,203,310,265,309,201,544,…
AF008445_at,124,65,-102,-68,24,-16,-109,-55,-90,-10,-2,68,158,…
AF008937_at,339,453,297,403,440,357,317,568,296,253,268,188,288,…
AF009301_at,288,95,93,142,214,64,77,266,14,51,361,30,440,…
AF009368_at,1032,635,1175,1079,658,1365,1424,1520,1506,449,741,767,722,…
AF009426_at,36,58,63,38,120,92,16,169,43,-18,26,-81,123,…
AF009674_at,-66,-239,-328,307,212,314,-653,332,221,-106,-169,-446,-93,…
AF010193_at,87,548,93,-31,159,101,119,589,245,451,91,484,458,…
AF012270_at,-12,139,237,104,29,-8,223,416,10,59,29,91,-14,…
AF014958_at,318,243,19,108,40,112,329,166,110,159,96,-71,139,…
AF015910_at,1219,1055,1820,1074,822,394,1154,1763,1157,902,837,178,1077,…
AF015913_at,476,611,850,691,1304,346,653,550,826,472,439,239,1558,…
AF015950_at,-466,-49,-277,-670,-180,-453,-700,-191,-163,-183,-329,-431,-43,…
AJ000480_at,895,749,1049,1016,634,752,920,254,934,536,607,456,617,…
AJ001047_at,-451,-108,-265,-378,-171,-257,-514,-250,-291,-218,-129,-137,-146,…
AJ001421_at,687,829,914,982,1294,743,680,527,1352,675,383,616,1071,…
AJ001487_at,-591,-415,-653,-546,-264,-503,-875,-490,-778,-329,-391,-290,-275,…
D00017_at,-94,2072,1658,2209,5846,1189,2263,1015,7449,1483,2527,1352,1974,…
D00591_at,172,87,323,261,536,-277,210,311,194,137,291,-114,144,…
D00596_at,1800,2629,3933,1438,2439,2046,742,277,6284,2216,3658,1033,4359,…
D00632_at,194,287,695,544,104,330,588,827,177,283,285,80,87,…
D00654_at,-77,94,-181,-142,37,-17,-196,-80,61,-84,-35,-24,-29,…
D00723_at,40,87,77,136,223,-23,42,-26,82,66,68,8,68,…
D00726_at,274,432,640,283,201,208,445,802,451,338,279,83,257,…
D00760_at,746,593,1778,783,1147,540,779,398,1595,579,1187,517,610,…
D00761_at,649,1420,1167,893,1423,659,717,542,1432,1666,1516,731,1630,…
D00762_at,645,782,1119,770,1202,444,677,337,688,570,802,334,1097,…
D00763_at,1324,2304,2677,1415,2076,953,1513,922,3039,1619,1113,632,3365,…
D10202_at,42,82,-3,101,80,122,35,-37,-44,-1,23,45,32,…
D10495_at,-208,334,-386,366,408,200,381,-215,-322,36,-163,448,-102,…
D10511_at,-66,58,150,370,709,119,152,62,255,166,156,316,509,…
D10522_at,397,515,343,36,29,53,-8,19,13,652,549,-7,1420,…
D10523_at,415,641,1053,630,771,604,710,235,1097,420,585,290,550,…
D10656_at,210,166,380,112,209,259,119,29,43,16,173,81,209,…
D10704_at,-252,95,-363,-300,177,-78,-349,-650,-425,68,-198,-142,-78,…
D10923_at,-36,23,-21,-41,71,76,-70,-61,-14,10,-41,265,-20,…
D10995_at,350,249,767,420,179,371,331,665,500,396,261,264,463,…
D11086_at,1497,3649,2853,1853,1507,3549,2772,2545,5269,1873,2998,2558,1319,…
D11094_at,-42,399,102,-3,504,23,-89,-101,305,51,1031,-47,248,…
D11139_at,43,-155,-169,47,-67,-71,-144,-350,-68,15,-43,-60,-107,…
D11151_at,96,75,93,95,52,53,13,92,80,38,42,45,22,…
D11428_at,-104,103,-347,-79,-111,-496,67,-442,95,-289,-134,-66,-346,…
D12485_at,163,34,55,66,56,71,117,46,165,76,29,60,65,…
D12625_at,5,-36,-110,-23,-33,28,63,-17,-39,-37,17,-8,-42,…
D12676_at,-8,-177,-39,-15,17,-69,-13,-22,-67,-51,-62,2,19,…
D12686_at,-1247,-1695,-1648,-1409,-435,-1168,-1357,-728,-2050,-1055,-901,-1245,-458,…
D12763_at,-189,-330,-298,-39,-278,-288,-21,31,-353,-8,-308,18,-66,…
D13118_at,3245,2925,4093,3827,3814,3070,3540,3731,3821,2746,2481,2940,3016,…
D13168_at,37,22,-44,5,21,24,72,49,43,-2,-3,1,2,…
D13264_at,21,21,-102,-21,-20,-71,-11,-76,-82,-21,-42,40,-29,…
D13305_at,-185,-297,-282,-675,-392,-576,-134,-605,-187,-108,-128,-159,-476,…
D13315_at,660,1004,1604,499,889,560,33,184,1939,933,960,482,1431,…
D13370_at,2028,1732,2519,2650,3255,1666,1429,1430,3079,1349,2176,926,2566,…
D13435_at,407,68,348,428,484,80,428,16,198,137,94,160,272,…
D13540_at,169,90,254,201,126,167,231,248,190,28,72,110,46,…
D13626_at,37,13,63,-22,-22,-106,-53,-92,-70,-59,-20,-70,720,…
D13627_at,600,977,1423,698,1839,720,620,388,1986,1166,1156,129,1797,…
D13628_at,129,113,302,187,153,5,325,-10,319,111,204,27,152,…
D13630_at,667,951,1119,596,786,295,589,533,1277,510,705,432,651,…
D13633_at,174,44,173,139,148,7,99,31,208,78,136,20,488,…
D13634_at,126,86,245,153,145,128,178,151,94,115,192,106,236,…
D13635_at,-147,12,-18,-46,-9,17,36,-80,114,10,-27,27,32,…
D13636_at,-24,-134,-213,-60,257,5,336,-98,173,256,34,48,370,…
D13637_at,98,138,-276,134,51,-133,53,-70,-255,-100,-132,50,341,…
D13639_at,4707,3367,-44,101,1276,30,154,2326,1848,114,24,1531,4215,…
D13640_at,656,185,426,975,1196,503,764,380,916,2,321,1401,2099,…
D13641_at,307,1352,640,469,1454,510,608,625,1342,839,1292,765,1464,…
D13642_at,100,372,-1,234,266,156,137,194,49,106,118,11,129,…
D13643_at,-741,-218,-196,-796,-384,-110,-339,-670,824,-224,-272,-211,-465,…
D13644_at,60,-10,39,82,37,62,6,47,-24,15,34,56,93,…
D13645_at,-121,121,-353,18,284,-1,-80,-118,10,73,-19,-91,142,…
D13748_at,2434,6886,6447,5181,8372,5203,5440,6361,8463,5838,4633,5084,5838,…
D13789_at,-330,-803,-1311,-808,-447,-768,-836,-1362,-809,-673,-678,-619,-487,…
D13897_rna2_at,557,346,669,450,207,394,477,626,587,409,445,373,294,…
D13900_at,1634,1778,2122,2331,2452,1104,2117,1184,2562,1401,858,1197,2176,…
D13969_at,-243,-145,-85,-206,-45,-147,-243,-344,-228,-111,-58,-61,-85,…
D13988_at,1797,860,2072,2817,3556,1118,1670,818,2511,730,1532,725,1591,…
D14043_at,1160,823,858,980,1761,151,1068,677,808,413,433,471,2219,…
D14134_at,-177,-56,-175,-165,-45,-119,-78,-209,-132,-62,-54,-50,-60,…
D14446_at,175,102,276,131,143,115,231,130,155,88,171,155,167,…
D14497_at,55,87,39,-5,-1,12,15,-79,37,35,-5,44,26,…
D14520_at,-86,-3,-53,103,5,160,67,0,-5,30,51,76,-8,…
D14530_at,16642,15527,19494,18849,20259,11800,19387,14498,18727,18364,18050,17432,17886,…
D14533_at,-89,-207,-320,-284,-205,-254,-337,-440,-231,-138,-192,-135,-167,…
D14657_at,885,1239,2864,1146,1530,1202,443,256,3794,2787,2400,686,2620,…
D14658_at,1234,411,1131,952,1202,437,939,592,1699,477,547,283,1546,…
D14659_at,122,32,42,88,163,-16,80,8,17,39,8,34,148,…
D14660_at,-5,-4,-19,-76,94,1,-55,-68,27,31,2,-14,50,…
D14661_at,437,757,531,352,495,302,253,337,728,582,646,363,1008,…
D14662_at,492,1210,594,740,839,551,672,829,1259,787,621,691,1455,…
D14663_at,438,739,924,399,633,229,536,532,1076,365,837,334,714,…
D14664_at,21,82,-18,114,128,58,84,107,0,1,-1,99,31,…
D14678_at,-100,-25,68,17,100,-51,-235,-868,7,-28,-72,-204,125,…
D14686_at,310,294,453,345,16,273,601,806,271,178,56,-20,123,…
D14689_at,353,498,875,899,529,218,1255,139,271,-43,297,244,985,…
D14694_at,1573,1962,1329,2115,1894,1047,1880,1707,2450,1166,1462,915,2050,…
D14695_at,185,824,320,187,104,211,129,61,636,307,1477,70,324,…
D14710_at,3343,6088,6293,5603,7437,3903,4587,3656,9100,3494,5865,1557,5968,…
D14811_at,109,574,314,209,49,268,384,283,271,13,535,71,55,…
D14812_at,2890,3286,2687,2051,3018,1394,2039,2087,3351,3110,2534,2374,5315,…
D14822_at,-75,7,-20,-2,12,-8,23,32,0,-13,3,-1,13,…
D14823_at,-61,26,36,-71,-11,14,35,17,-49,3,94,120,-40,…
D14827_at,-69,-161,-140,-225,157,-8,47,-409,-380,-68,202,64,-224,…
D14838_at,-151,-52,-118,-143,-7,-55,-124,-155,-247,36,-22,-110,-57,…
D14874_at,163,176,133,93,75,163,-8,94,204,149,152,304,61,…
D14878_at,644,754,794,598,1458,456,478,443,508,289,595,165,659,…
D14889_at,663,601,848,526,341,334,379,497,528,461,381,461,321,…
D15049_at,53,-33,114,-403,-105,0,43,50,74,163,94,-77,270,…
D15050_at,613,1487,810,453,1146,384,1560,842,794,516,829,799,1238,…
D15057_at,338,425,759,805,3135,122,2470,203,826,632,603,339,1750,…
D16181_at,14,45,84,20,52,23,26,104,89,0,0,84,11,…
D16217_at,874,344,903,690,904,380,707,479,468,373,598,685,581,…
D16227_at,-221,-32,-640,-82,80,-259,43,-524,-429,-155,-423,126,-238,…
D16294_at,362,503,383,252,687,206,273,-44,663,213,289,211,747,…
D16350_at,-53,14,-29,-61,39,-23,-31,-70,99,79,34,-68,62,…
D16469_at,906,708,388,521,690,300,942,305,764,279,365,797,2261,…
D16532_at,92,-63,23,224,69,-69,835,73,-44,-13,-12,-5,1,…
D16562_at,2452,3874,3827,3429,3758,3289,2809,3037,4866,2847,3456,2914,3928,…
D16581_at,952,2426,1660,1274,1192,1452,1095,1196,1568,734,811,1063,1061,…
D16583_at,-977,-771,-959,-608,-333,-837,-566,104,-677,-779,-594,-666,-614,…
D16593_at,204,573,281,769,40,419,561,479,878,163,567,250,55,…
D16626_at,-136,-174,-180,-167,70,-26,-247,-190,-225,-131,-148,-99,-131,…
D16815_at,88,-30,145,136,-29,8,70,245,72,88,40,96,102,…
D17357_at,134,56,207,19,6,0,18,179,92,31,27,11,3,…
D17390_at,-1129,-1172,-1406,-1960,-696,-1362,-1732,-1743,-1173,-672,-965,-1166,-649,…
D17391_at,-117,-82,-125,-116,-67,30,-58,-74,-89,-44,-101,-50,-23,…
D17400_at,-165,76,-263,-9,42,-254,-218,-223,-185,26,-67,8,147,…
D17461_at,-594,-268,-630,-21,-81,-307,-243,-925,-271,-298,-428,-135,-258,…
D17516_at,-41,-13,-144,-240,26,19,-87,137,295,45,-4,10,106,…
D17525_at,148,331,1069,750,617,725,1124,890,901,548,469,60,382,…
D17716_at,557,512,1085,643,382,264,507,565,425,409,645,314,539,…
D21063_at,1121,1656,2358,849,769,1228,934,298,2394,1932,460,206,1798,…
D21089_at,959,310,1210,914,697,689,1356,890,815,467,540,501,728,…
D21090_at,171,224,371,76,340,151,194,26,299,163,176,120,332,…
D21163_at,25,-1,58,310,61,-277,245,149,-222,66,-16,-5,174,…
D21205_at,-601,-722,-806,-646,-371,-453,-551,-940,-655,-466,-551,-412,-537,…
D21239_at,-90,-70,-135,-224,-130,-133,-258,-86,-160,-45,-170,-94,-24,…
D21255_at,-125,-83,-151,-52,618,-40,-68,88,-65,-19,-14,-57,-34,…
D21260_at,1400,616,833,1402,1501,286,1529,4601,2108,413,1391,265,2428,…
D21261_at,7819,10357,12527,7693,10766,6572,7216,10210,17588,14289,9554,7264,5249,…
D21262_at,122,227,272,46,449,51,124,52,539,186,329,58,544,…
D21267_at,50,-13,107,-20,17,48,26,160,69,27,81,-21,4,…
D21337_at,73,85,0,-17,-24,-16,-26,85,-37,4,12,-10,79,…
D21851_at,99,77,84,174,127,145,169,241,159,27,93,47,101,…
D21852_at,304,705,569,372,507,528,441,577,741,346,657,237,631,…
D21853_at,554,663,670,752,1007,718,789,836,999,739,927,505,883,…
D21878_at,-109,-33,-102,-152,-119,-67,-208,-229,-86,-95,-83,-34,-76,…
D23660_at,10477,18420,11507,17843,19284,12474,10328,10468,17887,16525,18265,14053,14446,…
D23662_at,1743,2941,2610,1974,2380,1872,1240,1863,3288,1914,1856,1300,3091,…
D23673_at,3617,2103,2419,2573,1983,1925,2407,2743,2037,1490,1545,1523,3525,…
D25215_at,-26,-144,-38,-95,-69,-67,0,-226,-154,-192,-82,-64,142,…
D25216_at,1023,714,1296,1648,655,1397,1187,1542,765,710,767,1268,830,…
D25217_at,288,436,736,320,1409,-94,730,634,307,265,230,270,214,…
D25218_at,327,239,169,619,643,392,315,230,589,381,189,280,227,…
D25248_at,460,285,492,375,278,231,457,323,309,315,296,109,270,…
D25274_at,1148,507,1002,1312,1538,622,835,428,1901,274,1288,426,1249,…
D25278_at,469,321,601,537,395,211,653,514,431,479,274,140,573,…
D25303_at,132,209,77,207,134,26,58,250,411,-64,280,242,80,…
D25328_at,-146,377,153,224,1714,190,184,-101,1172,-13,655,-33,189,…
D25538_at,61,247,238,160,355,74,403,97,277,125,169,142,433,…
D25539_at,519,15,144,458,29,279,250,52,83,83,127,-84,4,…
D25547_at,797,768,1057,505,584,391,742,685,678,426,893,311,494,…
D26018_at,-63,-14,-75,-10,226,158,-35,-140,73,-65,64,-86,195,…
D26067_at,461,171,208,241,218,151,373,161,206,175,98,148,508,…
D26068_at,3355,3872,3932,2423,3716,1744,3103,2257,5136,2823,5321,2085,3968,…
D26069_at,295,258,312,266,231,140,258,211,431,82,234,107,666,…
D26129_at,-31,-8,-20,-104,78,192,-43,-7,24,-154,-19,-94,-28,…
D26135_at,-303,-165,-294,-244,-141,-174,-329,-262,-331,-140,-249,-264,-141,…
D26308_at,825,660,1145,824,811,456,1159,1380,955,721,373,776,813,…
D26350_at,-116,-59,-133,-103,1,24,-63,-94,-24,-70,-35,-38,-74,…
D26361_at,-505,108,205,226,204,152,157,242,150,129,247,63,281,…
D26362_at,924,726,886,595,682,821,386,1100,725,390,555,502,804,…
D26443_at,54,-51,20,-29,34,16,-33,53,53,-30,-8,10,-10,…
D26528_at,175,142,141,106,62,154,99,226,169,101,74,77,74,…
D26561_cds1_at,-68,29,-15,-8,8,-1,6,38,33,62,9,-10,-31,…
D26561_cds2_at,-49,-17,79,-47,-8,-103,-58,71,43,86,43,-35,48,…
D26561_cds3_at,-32,13,13,-7,-51,-71,15,77,35,-15,3,-7,-26,…
D26579_at,233,486,234,62,212,135,139,232,349,193,159,456,533,…
D26598_at,1226,2185,2636,2217,2273,1940,1483,1710,3019,2021,2282,1457,2670,…
D26599_at,1703,2474,4609,2396,2610,3255,1969,1812,4808,2385,3764,1740,1416,…
D26600_at,1647,2361,2667,2162,2867,1484,1586,1368,3509,1239,2893,1406,1421,…
D28114_at,425,271,513,468,290,314,460,379,489,234,345,250,206,…
D28118_at,225,490,390,387,347,218,411,235,379,206,384,188,569,…
D28124_at,1169,1078,1337,1258,702,1017,959,1034,1151,555,711,773,653,…
